Text,Label
"123 Main Street, Cityville",Address
"The quick brown fox jumps over the lazy dog",Not Address
"456 Elm Avenue, Townsville",Address
"789 Oak Lane, Villageton",Address
"10 Pine Street, Forestville",Address
"42 Willow Road, Lakeside",Address
"The sun is shining brightly today",Not Address
"567 River View Drive, Riverside",Address
"The moonlight casts shadows on the ground",Not Address
"321 Park Avenue, Parksville",Address
"987 Elm Street, Elmville",Address
"A gentle breeze rustles the leaves",Not Address
"555 High Street, Hillside",Address
"888 Maple Avenue, Mapletown",Address
"876 Oak Street, Oakville",Address
"The ocean waves crash against the shore",Not Address
"654 Cedar Road, Cedartown",Address
"111 Birch Lane, Birchville",Address
"999 Pine Avenue, Pinetown",Address
"333 Spruce Street, Sprucetown",Address
"222 Oak Road, Oakville",Address
"A red car speeds down the highway",Not Address
"777 Willow Lane, Willowtown",Address
"The sun sets behind the mountains",Not Address
"444 Elm Street, Elmwood",Address
"The cat chases the mouse around the room",Not Address
"123 Maple Avenue, Mapleton",Address
"The wind rustles the leaves in the trees",Not Address
"666 Birch Road, Birchwood",Address
"567 Cedar Street, Cedartown",Address
"The river flows gently under the bridge",Not Address
"888 Pine Lane, Pinewood",Address
"789 High Street, Hightown",Address
"The crowd cheers at the stadium",Not Address
"555 Spruce Road, Spruceville",Address
"The rain pours down from the dark clouds",Not Address
"111 River Lane, Rivertown",Address
"The snow covers the ground in a white blanket",Not Address
"999 Park Street, Parkville",Address
"The birds chirp in the early morning",Not Address
"123 Forest Road, Forestville",Address
"The stars twinkle in the night sky",Not Address
"444 Lake Lane, Laketown",Address
"The train speeds along the tracks",Not Address
"666 Mountain Road, Mountaintop",Address
"The waves crash against the rocky shore",Not Address
"222 Valley Avenue, Valleytown",Address
"The leaves fall from the trees in autumn",Not Address
"777 Beach Road, Beachside",Address
"The children play in the park",Not Address
Text,Label
"1/123, Mahatma Gandhi Road, Delhi",Address
"22, Park Street, Kolkata",Address
"5A, Brigade Road, Bangalore",Address
"10, MG Road, Mumbai",Address
"45, MG Road, Pune",Address
"7, Ashoka Road, New Delhi",Address
"30, Connaught Place, Delhi",Address
"12, Richmond Road, Bangalore",Address
"15, Marine Drive, Mumbai",Address
"3, Koregaon Park, Pune",Address
"25, Church Street, Bangalore",Address
"8/800, Rajaji Marg, New Delhi",Address
"67, Park Lane, Hyderabad",Address
"18, Janpath, Delhi",Address
"2, Brigade Road, Bangalore",Address
"39, Colaba Causeway, Mumbai",Address
"11, Greams Road, Chennai",Address
"9, Hill Road, Mumbai",Address
"101, Residency Road, Bangalore",Address
"5, Sarat Bose Road, Kolkata",Address
